epoque;cout;exact;test_cout;test_exact
1;0.7764;0.8248;0.2731;0.9565
2;0.1834;0.9735;0.1001;0.9871
3;0.0785;0.9880;0.0545;0.9903
4;0.0418;0.9947;0.0365;0.9921
5;0.0253;0.9978;0.0282;0.9935
6;0.0169;0.9989;0.0232;0.9945
7;0.0120;0.9994;0.0208;0.9946
8;0.0092;0.9995;0.0192;0.9948
9;0.0070;0.9998;0.0178;0.9953
10;0.0057;0.9999;0.0173;0.9950
11;0.0046;1.0000;0.0162;0.9955
12;0.0039;0.9998;0.0158;0.9955
13;0.0032;0.9998;0.0150;0.9955
14;0.0028;1.0000;0.0143;0.9958
15;0.0024;0.9999;0.0147;0.9955
16;0.0022;0.9999;0.0139;0.9956
17;0.0018;1.0000;0.0143;0.9956
18;0.0016;1.0000;0.0135;0.9958
19;0.0013;1.0000;0.0135;0.9960
20;0.0013;1.0000;0.0133;0.9958
21;0.0012;1.0000;0.0126;0.9961
22;9.7575e-04;1.0000;0.0127;0.9960
23;9.1812e-04;1.0000;0.0130;0.9960